"BehaviorSpace results (NetLogo 6.2.2)"
"CA_5-STATES_NETWORK__61_Arduino_31_COMPLETE_work.nlogo"
"experiment_centroid_links_mutated"
"07/04/2022 22:22:54:352 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","radius-of-interaction","movement-steps","load-graphml","N-turtles","percentage-unhappy","clear-before-generating","arduino-on","mutated","links-to-use","frac-providers","[step]","mean [ state ] of turtles with [ breed = clients ]","mean [ state ] of turtles with [ breed = service-providers ]","mean [nw:clustering-coefficient] of turtles","paths","mean [nw:closeness-centrality] of turtles","mean [nw:betweenness-centrality] of turtles","centroid-x","centroid-y","count links"
"3","1.5","1","false","80","10","true","false","0","undirected","0.15","4","2.5","3.4166666666666665","0","false","0.4367857142857143","0.1375","-0.15410160827012218","-0.4155970663174452","21"
"5","1.5","1","false","80","10","true","false","7","undirected","0.1","4","2.9027777777777777","2.75","0.10625","false","0.38940972222222225","0.2375","0.7091023300361604","-0.3327841338049372","28"
"8","1.5","1","false","80","10","true","false","7","undirected","0.1","4","3.0972222222222223","2.875","0.020833333333333332","false","0.2845833333333333","0.1625","1.2188083519654829","-0.34889264226959077","19"
"4","1.5","1","false","80","10","true","false","7","undirected","0.05","4","3.1052631578947367","3.25","0.0375","false","0.3943646631146631","0.2875","0.02672311643342673","-0.2195062121970986","25"
"7","1.5","1","false","80","10","true","false","7","undirected","0.05","4","2.736842105263158","3.25","0.04791666666666667","false","0.4262948126434968","0.7125","-0.8794441642469678","-0.4360998419315633","35"
"10","1.5","1","false","80","40","true","false","0","undirected","0.05","4","2.1315789473684212","2","0.11666666666666665","false","0.4229166666666667","0.1","-0.1364853386668264","-1.7652218869921152","29"
"6","1.5","1","false","80","10","true","false","7","undirected","0.15","4","3.1470588235294117","2.6666666666666665","0.10416666666666667","false","0.4427419628982129","0.675","-0.6719478349590873","-0.7214444271754734","33"
"9","1.5","1","false","80","10","true","false","7","undirected","0.15","4","3.0441176470588234","2.8333333333333335","0.05833333333333333","false","0.3726190476190477","0.2125","-0.3722561264654824","-0.23384652745758724","25"
"11","1.5","1","false","80","40","true","false","0","undirected","0.1","4","2.0694444444444446","1.25","0.0375","false","0.40305555555555567","0.25","0.09347029967361445","0.14885062864814996","27"
"2","1.5","1","false","80","10","true","false","0","undirected","0.1","5","1.9583333333333333","1.625","0.1916666666666667","false","0.49869047619047613","0.2875","0.09135142748440747","0.6088156297022841","40"
"1","1.5","1","false","80","10","true","false","0","undirected","0.05","5","2.3026315789473686","4","0.09166666666666666","false","0.4321996753246754","0.2375","-1.0724030770629462","-0.6355475963261253","30"
"3","1.5","1","false","80","10","true","false","0","undirected","0.15","5","2.0588235294117645","3.4166666666666665","0","false","0.422202380952381","0.2","-0.1291016082701221","-0.3780970663174453","23"
"5","1.5","1","false","80","10","true","false","7","undirected","0.1","5","2.7916666666666665","2.875","0.09791666666666668","false","0.3934193657219973","0.5125","0.6716023300361602","-0.35778413380493734","30"
"12","1.5","1","false","80","40","true","false","0","undirected","0.15","5","2.161764705882353","2.25","0.075","false","0.4395833333333334","0.075","1.328504991430967","-0.857288870705571","24"
"7","1.5","1","false","80","10","true","false","7","undirected","0.05","5","2.960526315789474","4","0.07458333333333333","false","0.4597371160382669","0.8125","-0.8919441642469679","-0.4235998419315635","38"
"8","1.5","1","false","80","10","true","false","7","undirected","0.1","5","2.9722222222222223","2.625","0.020833333333333332","false","0.28458333333333335","0.1625","1.2313083519654822","-0.2863926422695905","19"
"4","1.5","1","false","80","10","true","false","7","undirected","0.05","5","3.263157894736842","3.5","0.1125","false","0.4110313297813297","0.2625","0.001723116433426819","-0.20700621219709853","27"
"6","1.5","1","false","80","10","true","false","7","undirected","0.15","5","2.8823529411764706","2.8333333333333335","0.11666666666666665","false","0.4320276771839272","0.8375","-0.6469478349590873","-0.6839444271754735","37"
"11","1.5","1","false","80","40","true","false","0","undirected","0.1","5","2.0694444444444446","2","0.0375","false","0.4065079365079365","0.3625","0.15597029967361442","0.11135062864815012","29"
"9","1.5","1","false","80","10","true","false","7","undirected","0.15","5","3.25","3","0.05833333333333333","false","0.4017857142857143","0.225","-0.297256126465482","-0.24634652745758717","27"
"10","1.5","1","false","80","40","true","false","0","undirected","0.05","5","1.9473684210526316","3","0.10833333333333335","false","0.36951509930128357","0.7375","-0.09898533866682677","-1.790221886992115","33"
"3","1.5","1","false","80","10","true","false","0","undirected","0.15","6","2.485294117647059","3.25","0.020833333333333332","false","0.4119456124370985","0.725","-0.11660160827012209","-0.36559706631744515","28"
"1","1.5","1","false","80","10","true","false","0","undirected","0.05","6","2.736842105263158","4","0.12708333333333335","false","0.4711359126984128","0.18750000000000003","-1.0849030770629464","-0.6730475963261252","33"
"2","1.5","1","false","80","10","true","false","0","undirected","0.1","6","2.5555555555555554","3.25","0.19166666666666665","false","0.49869047619047624","0.2875","0.10385142748440748","0.596315629702284","40"
"8","1.5","1","false","80","10","true","false","7","undirected","0.1","6","3.3194444444444446","3.375","0.05","false","0.29833333333333334","0.1875","1.2563083519654827","-0.27389264226959054","22"
"4","1.5","1","false","80","10","true","false","7","undirected","0.05","6","3.3552631578947367","3.25","0.10416666666666666","false","0.386705932955933","0.35","0.0017231164334269966","-0.13200621219709857","28"
"5","1.5","1","false","80","10","true","false","7","undirected","0.1","6","3.263888888888889","2.625","0.09791666666666668","false","0.41841936572199734","0.5125","0.7341023300361604","-0.3452841338049374","31"
"7","1.5","1","false","80","10","true","false","7","undirected","0.05","6","3.1973684210526314","3.25","0.09541666666666665","false","0.4693204493716003","0.8375","-0.8669441642469679","-0.4235998419315633","40"
"11","1.5","1","false","80","40","true","false","0","undirected","0.1","6","2.138888888888889","2.125","0.0375","false","0.4065079365079366","0.3625","0.15597029967361428","0.18635062864815008","29"
"6","1.5","1","false","80","10","true","false","7","undirected","0.15","6","3.2941176470588234","2.6666666666666665","0.11666666666666665","false","0.4320276771839273","0.8375","-0.671947834959087","-0.6589444271754736","37"
"9","1.5","1","false","80","10","true","false","7","undirected","0.15","6","3.2205882352941178","3.4166666666666665","0.05625","false","0.4066121031746032","0.35","-0.2472561264654821","-0.23384652745758733","29"
"12","1.5","1","false","80","40","true","false","0","undirected","0.15","6","2.264705882352941","2.0833333333333335","0.075","false","0.42217261904761916","0.275","1.2910049914309678","-0.8197888707055714","26"
"10","1.5","1","false","80","40","true","false","0","undirected","0.05","6","2.3815789473684212","2.25","0.12916666666666668","false","0.42846456746540884","0.9375","-0.13648533866682636","-1.8027218869921153","38"
"3","1.5","1","false","80","10","true","false","0","undirected","0.15","7","2.176470588235294","3.6666666666666665","0.020833333333333332","false","0.41194561243709843","0.725","-0.09160160827012209","-0.41559706631744514","28"
"1","1.5","1","false","80","10","true","false","0","undirected","0.05","7","2.513157894736842","4","0.12708333333333335","false","0.4711359126984127","0.18750000000000003","-1.0349030770629464","-0.7105475963261256","33"
"2","1.5","1","false","80","10","true","false","0","undirected","0.1","7","2.0416666666666665","1.75","0.20458333333333334","false","0.500922619047619","0.375","0.05385142748440765","0.6213156297022842","46"
"8","1.5","1","false","80","10","true","false","7","undirected","0.1","7","3.25","2.625","0.0625","false","0.3325000000000001","0.1875","1.2563083519654827","-0.23639264226959042","25"
"4","1.5","1","false","80","10","true","false","7","undirected","0.05","7","3.3289473684210527","3.5","0.10416666666666666","false","0.3925160950160951","0.4375","0.02672311643342711","-0.13200621219709846","29"
"6","1.5","1","false","80","10","true","false","7","undirected","0.15","7","2.9705882352941178","2.5","0.16375","false","0.4357735448428383","1.475","-0.646947834959087","-0.5839444271754738","45"
"11","1.5","1","false","80","40","true","false","0","undirected","0.1","7","2.4444444444444446","2.125","0.0375","false","0.4065079365079365","0.3625","0.15597029967361423","0.1613506286481502","29"
"9","1.5","1","false","80","10","true","false","7","undirected","0.15","7","3","3.25","0.05625","false","0.4124454365079367","0.375","-0.1847561264654823","-0.2213465274575873","30"
"5","1.5","1","false","80","10","true","false","7","undirected","0.1","7","3","2.75","0.09583333333333334","false","0.42218137254901966","0.675","0.7591023300361602","-0.25778413380493714","32"
"7","1.5","1","false","80","10","true","false","7","undirected","0.05","7","2.9210526315789473","4","0.08291666666666667","false","0.41512934471252694","2.6375","-0.8419441642469678","-0.4235998419315635","42"
"12","1.5","1","false","80","40","true","false","0","undirected","0.15","7","2.1176470588235294","2.25","0.075","false","0.4649321511821512","0.6125","1.3285049914309675","-0.7197888707055713","31"
"10","1.5","1","false","80","40","true","false","0","undirected","0.05","7","2.0657894736842106","3.75","0.12916666666666665","false","0.48360345635429763","0.9875","-0.12398533866682629","-1.8027218869921149","41"
"3","1.5","1","false","80","10","true","false","0","undirected","0.15","8","2.426470588235294","3.1666666666666665","0.020833333333333332","false","0.3950072419625439","1.05","-0.02910160827012225","-0.4155970663174452","30"
