BehaviorSpace results (NetLogo 6.2.2),,,,,,,,,,,,,,,,,
CA_5-STATES_NETWORK_CLEAN_54_PERFEITO_SAVE_Block_Arduino_24_PERFECT_DOC_BREED_aligned_BEHAVIOR_work.nlogo,,,,,,,,,,,,,,,,,
experiment,,,,,,,,,,,,,,,,,
06/29/2022 20:38:59:599 -0300,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,
-16,16,-16,16,,,,,,,,,,,,,,
[run number],radius-of-interaction,movement-steps,load-graphml,N-turtles,percentage-unhappy,clear-before-generating,arduino-on,mutated,links-to-use,frac-providers,step,mood_clients,mood_providers,cluster_coef,paths,closeness,betweenness
10,1.5,1,false,80,40,true,false,0,undirected,0.05,6,1.9342105263157894,6.5,0.09166666666666666,false,0.4555208333333335,0.2625
6,1.5,1,false,80,20,true,false,0,undirected,0.15,6,2.676470588235294,4.166666666666667,75,false,0.4291666666666667,0.0125
12,1.5,1,false,80,40,true,false,0,undirected,0.15,6,1.75,3.5,0.10416666666666667,false,0.4363437950937952,0.4125
5,1.5,1,false,80,20,true,false,0,undirected,0.05,7,2.1052631578947367,2.25,0.2341666666666667,false,0.4483479488113355,1.4125
9,1.5,1,false,80,30,true,false,0,undirected,0.15,7,1.9705882352941178,4,0.08541666666666667,false,0.4117261904761905,0.1125
1,1.5,1,false,80,10,true,false,0,undirected,0.05,7,2.1842105263157894,1.5,0.17875000000000002,false,0.46391743733226426,0.6875
4,1.5,1,false,80,20,true,false,0,undirected,0.05,7,1.855263157894737,2,65,false,0.4022485847485848,1
11,1.5,1,false,80,40,true,false,0,undirected,0.05,7,1.6973684210526316,9.75,0.1125,false,0.3770833333333333,75
2,1.5,1,false,80,10,true,false,0,undirected,0.05,7,2.3026315789473686,1.5,0.06666666666666668,false,0.3778621031746032,0.2875
7,1.5,1,false,80,30,true,false,0,undirected,0.05,7,1.8289473684210527,5.75,0.14166666666666666,false,0.37255952380952384,175
3,1.5,1,false,80,10,true,false,0,undirected,0.15,7,2.3529411764705883,2.9166666666666665,0.13416666666666668,false,0.4322880591630591,0.22499999999999995
8,1.5,1,false,80,30,true,false,0,undirected,0.05,7,1.8289473684210527,7,0,false,0.2225,0.1375
10,1.5,1,false,80,40,true,false,0,undirected,0.05,7,1.6710526315789473,7.5,0.12916666666666668,false,0.4638541666666667,0.25
6,1.5,1,false,80,20,true,false,0,undirected,0.15,7,2.235294117647059,4.083333333333333,75,false,0.4541666666666667,0.0125
5,1.5,1,false,80,20,true,false,0,undirected,0.05,8,2.210526315789474,2.25,0.25,false,0.46220103526356693,1475
12,1.5,1,false,80,40,true,false,0,undirected,0.15,7,1.4705882352941178,4,0.10416666666666666,false,0.43634379509379506,0.4125
9,1.5,1,false,80,30,true,false,0,undirected,0.15,8,2.1323529411764706,2.3333333333333335,0.08541666666666667,false,0.3884821428571429,0.2875
1,1.5,1,false,80,10,true,false,0,undirected,0.05,8,2.3947368421052633,2,0.17875,false,0.47641743733226427,0.7875
11,1.5,1,false,80,40,true,false,0,undirected,0.05,8,1.9605263157894737,4.25,0.1375,false,0.42160714285714285,0.2375
2,1.5,1,false,80,10,true,false,0,undirected,0.05,8,2.6184210526315788,1.25,0.06666666666666667,false,0.4422668650793652,0.35
4,1.5,1,false,80,20,true,false,0,undirected,0.05,8,1.9605263157894737,2.5,0.06416666666666666,false,0.436706912878788,1175
7,1.5,1,false,80,30,true,false,0,undirected,0.05,8,1.9342105263157894,2.25,0.13333333333333333,false,0.348234126984127,0.2625
3,1.5,1,false,80,10,true,false,0,undirected,0.15,8,2.6029411764705883,2.5,0.13416666666666666,false,0.43228805916305924,225
10,1.5,1,false,80,40,true,false,0,undirected,0.05,8,1.7236842105263157,2.75,0.16666666666666666,false,0.4824255952380952,0.2875
8,1.5,1,false,80,30,true,false,0,undirected,0.05,8,1.75,5,0.029166666666666664,false,0.27999999999999997,0.1125
6,1.5,1,false,80,20,true,false,0,undirected,0.15,8,2.588235294117647,3.5,75,false,0.4395833333333334,75
12,1.5,1,false,80,40,true,false,0,undirected,0.15,8,1.6764705882352942,2.9166666666666665,0.12083333333333332,false,0.4163558710808375,1.7625
5,1.5,1,false,80,20,true,false,0,undirected,0.05,9,2.276315789473684,2.25,0.26249999999999996,false,0.4478012336762654,1575
1,1.5,1,false,80,10,true,false,0,undirected,0.05,9,2.3421052631578947,3,0.20666666666666664,false,0.48891700404858296,0.9125
9,1.5,1,false,80,30,true,false,0,undirected,0.15,9,2.0441176470588234,3.0833333333333335,0.12291666666666665,false,0.42598214285714286,0.2875
11,1.5,1,false,80,40,true,false,0,undirected,0.05,9,1.8026315789473684,7.25,0.1375,false,0.4419196428571429,0.1375
4,1.5,1,false,80,20,true,false,0,undirected,0.05,9,1.9473684210526316,2,0.09041666666666667,false,0.4371939258658009,1.1625
2,1.5,1,false,80,10,true,false,0,undirected,0.05,9,2.4342105263157894,1.5,0.09375,false,0.44464781746031745,0.3375
7,1.5,1,false,80,30,true,false,0,undirected,0.05,9,1.9078947368421053,3.75,0.13166666666666665,false,0.358031204906205,0.5875
3,1.5,1,false,80,10,true,false,0,undirected,0.15,9,2.4411764705882355,3,0.1457142857142857,false,0.43568768037518035,0.2
8,1.5,1,false,80,30,true,false,0,undirected,0.05,9,1.855263157894737,5.75,0.029166666666666664,false,0.29041666666666666,175
10,1.5,1,false,80,40,true,false,0,undirected,0.05,9,1.7894736842105263,6.25,0.16666666666666669,false,0.488452380952381,0.3625
6,1.5,1,false,80,20,true,false,0,undirected,0.15,9,2.3676470588235294,3,75,false,0.4395833333333333,75
5,1.5,1,false,80,20,true,false,0,undirected,0.05,10,2.3026315789473686,2.25,0.25261904761904763,false,0.42464911985891945,4.9125
1,1.5,1,false,80,10,true,false,0,undirected,0.05,10,2.4342105263157894,1.5,0.20666666666666664,false,0.5190558929374719,0.9625
12,1.5,1,false,80,40,true,false,0,undirected,0.15,9,1.5294117647058822,3.75,0.13583333333333333,false,0.4180882554945054,1.6875
2,1.5,1,false,80,10,true,false,0,undirected,0.05,10,2.710526315789474,1.25,0.08458333333333332,false,0.4567918192918194,0.4875
11,1.5,1,false,80,40,true,false,0,undirected,0.05,10,2,6.75,0.13749999999999998,false,0.4350744047619048,0.25000000000000006
7,1.5,1,false,80,30,true,false,0,undirected,0.05,10,2.013157894736842,3.75,0.12333333333333334,false,0.36371157351420513,0.85
10,1.5,1,false,80,40,true,false,0,undirected,0.05,10,1.8157894736842106,6.5,0.16666666666666669,false,0.49457837301587293,0.45
9,1.5,1,false,80,30,true,false,0,undirected,0.15,10,2.176470588235294,3.75,0.15208333333333332,false,0.45594696969696963,0.2375
4,1.5,1,false,80,20,true,false,0,undirected,0.05,10,2.0657894736842106,2.5,0.11750000000000001,false,0.45212587788295117,1.3875
3,1.5,1,false,80,10,true,false,0,undirected,0.15,10,2.676470588235294,2.75,0.1457142857142857,false,0.43985434704184706,0.2125
8,1.5,1,false,80,30,true,false,0,undirected,0.05,10,1.9210526315789473,6.25,0.029166666666666667,false,0.3154166666666667,175
6,1.5,1,false,80,20,true,false,0,undirected,0.15,10,2.5441176470588234,4.333333333333333,75,false,0.4437500000000001,0.0875
1,1.5,1,false,80,10,true,false,0,undirected,0.05,11,2.1710526315789473,2,0.19,false,0.46686751801689874,1.35
5,1.5,1,false,80,20,true,false,0,undirected,0.05,11,2.1447368421052633,2.25,0.27097222222222217,false,0.4378630860010489,5825
12,1.5,1,false,80,40,true,false,0,undirected,0.15,10,1.6911764705882353,3,0.13583333333333333,false,0.41808825549450546,1.6875
2,1.5,1,false,80,10,true,false,0,undirected,0.05,11,2.263157894736842,1.5,0.09,false,0.46535866910866924,575
11,1.5,1,false,80,40,true,false,0,undirected,0.05,11,1.6973684210526316,9.75,0.16458333333333333,false,0.44464285714285723,0.3625
7,1.5,1,false,80,30,true,false,0,undirected,0.05,11,1.8157894736842106,5.75,0.16083333333333333,false,0.37204490684753844,0.8375
10,1.5,1,false,80,40,true,false,0,undirected,0.05,11,1.7105263157894737,7.5,0.14999999999999997,false,0.45986747729394795,725
