"BehaviorSpace results (NetLogo 6.2.2)"
"CA_5-STATES_NETWORK_CLEAN_55_PERFEITO_SAVE_Block_Arduino_25_PERFECT_DOC_BREED_aligned_BEHAVIOR_work2_SIMILARITY_SEGREGATION_CENTROIDE_work.nlogo"
"experiment_centroid"
"06/30/2022 20:22:16:617 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","radius-of-interaction","movement-steps","load-graphml","N-turtles","percentage-unhappy","clear-before-generating","arduino-on","mutated","links-to-use","frac-providers","[step]","( sum [ state ] of turtles with [ breed = clients ] ) /  (( 1 - frac-providers) * N-turtles)","( sum [ state ] of turtles with [ breed = service-providers ] ) /  ( frac-providers * N-turtles )","mean [nw:clustering-coefficient] of turtles","paths","mean [nw:closeness-centrality] of turtles","mean [nw:betweenness-centrality] of turtles","centroid-x","centroid-y"
"4","1.5","1","false","80","20","true","false","0","undirected","0.05","4","2.276315789473684","1.25","0.10833333333333332","false","0.39326180213648254","0.625","1.9044252275548939","-2.3160686034813063"
"10","1.5","1","false","80","40","true","false","0","undirected","0.05","4","1.6842105263157894","2.5","0.075","false","0.3201190476190476","0.1625","-2.1646369434942043","-0.200283961633592"
"6","1.5","1","false","80","20","true","false","0","undirected","0.15","4","1.9264705882352942","2.5","0.10833333333333332","false","0.39500000000000013","0.1125","0.4543156663993518","-1.4578892608819776"
"3","1.5","1","false","80","10","true","false","0","undirected","0.15","4","2.573529411764706","2.5","0.02708333333333333","false","0.3799652777777778","0.25","1.808108262449725","0.12706105785731295"
"12","1.5","1","false","80","40","true","false","0","undirected","0.15","4","1.7058823529411764","3.0833333333333335","0.16541666666666668","false","0.30529761904761904","0.15","-0.9317770061373855","2.230351686956127"
"8","1.5","1","false","80","30","true","false","0","undirected","0.05","4","2.1842105263157894","2.5","0.09583333333333334","false","0.30874999999999997","0.1375","-0.4951010992776178","0.5129767199389923"
"11","1.5","1","false","80","40","true","false","0","undirected","0.05","4","1.7894736842105263","2.75","0.09583333333333333","false","0.4066666666666666","0.0875","-0.4442922450009557","0.9149996971540322"
"1","1.5","1","false","80","10","true","false","0","undirected","0.05","5","1.7763157894736843","2","0.15416666666666667","false","0.4858928571428572","0.1875","1.1031702462452753","-0.02682271259135447"
"9","1.5","1","false","80","30","true","false","0","undirected","0.15","5","1.9705882352941178","2.8333333333333335","0.16666666666666669","false","0.49833333333333335","0.1125","0.7464584437509408","-0.5613029610249765"
"5","1.5","1","false","80","20","true","false","0","undirected","0.05","5","1.9342105263157894","1.75","0.10833333333333335","false","0.49250000000000005","0.1125","0.5669983153736632","0.9409314203985515"
